Fp1 Fz F3 F7 FT9 FC5 FC1 C3 T7 TP9 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 TP10 CP6 CP2 Cz C4 T8 FT10 FC6 FC2 F4 F8 Fp2 HEOG
2.8831776944571175e-05 2.577167470008135e-05 2.7941554435528815e-05 2.2181737222126685e-05 2.8018801003781846e-06 2.2847742002340965e-05 2.2090809579822235e-05 2.1850837583770044e-05 8.920921573007945e-06 1.0978131285810377e-05 1.673880615271628e-05 2.188386133639142e-05 1.9987668565590866e-05 1.540912126074545e-05 8.729813998797908e-06 1.804528437787667e-05 1.929067548189778e-05 2.5468756575719453e-05 1.92659608728718e-05 2.668789056770038e-05 7.192681550804991e-06 1.802287260943558e-05 1.7548121832078323e-05 1.8245154933538288e-05 2.345105167478323e-05 2.0533452698145993e-05 7.967363671923522e-06 2.9516546419472434e-05 2.429974301776383e-05 2.4303670215886086e-05 2.3166181563283317e-05 1.188938222185243e-05 -0.000981448101811111
2.8628212021430954e-05 2.682772174011916e-05 2.8708720492431894e-05 2.113670234393794e-05 2.4275343548652017e-06 2.253081402159296e-05 2.323338412679732e-05 2.2430967874242924e-05 8.102737410808913e-06 1.199107282445766e-05 1.7158983609988354e-05 2.246248914161697e-05 1.969029108295217e-05 1.5562512999167666e-05 9.227033842762467e-06 1.7240232409676537e-05 1.808164051908534e-05 1.9125243852613494e-05 1.8202981664217077e-05 2.4941024094005115e-05 6.113485142122954e-06 1.7002297681756318e-05 1.734042598400265e-05 1.8909653590526432e-05 2.2643829652224667e-05 1.907413752633147e-05 7.007824024185538e-06 2.7989097361569293e-05 2.4590832254034467e-05 2.399452932877466e-05 2.083674189634621e-05 1.155852987722028e-05 -0.001055584754794836
2.8342030418571085e-05 2.7921338187297806e-05 2.9491553505067714e-05 2.0149338524788618e-05 2.056449147858075e-06 2.2253761926549487e-05 2.4426932213827968e-05 2.302741995663382e-05 7.455074410245288e-06 1.3189885976316873e-05 1.7606962501304224e-05 2.3097705707186833e-05 1.9467135643935762e-05 1.5790637917234562e-05 9.914504516927991e-06 1.6544674508622847e-05 1.6976493498077616e-05 1.297724975302117e-05 1.726970549498219e-05 2.3307966330321506e-05 5.320862783264602e-06 1.612567575648427e-05 1.724973481032066e-05 1.965260526048951e-05 2.195430533902254e-05 1.780165985110216e-05 6.345713245536899e-06 2.657326876942534e-05 2.493674764991738e-05 2.370105721638538e-05 1.843355130404234e-05 1.1238316801609471e-05 -0.0010859991889446974
2.7966505513177253e-05 2.9003571398789063e-05 3.02664702758193e-05 1.9302422515465878e-05 1.7146913933174801e-06 2.2052658096072264e-05 2.5620520318625495e-05 2.3616503312950954e-05 7.040944183245301e-06 1.4491351976175793e-05 1.805856118153315e-05 2.375592157477513e-05 1.9323844753671438e-05 1.6065792806330137e-05 1.074283954949351e-05 1.5969104424584657e-05 1.6012050764402375e-05 7.29013345335261e-06 1.6494184819748625e-05 2.184403820137959e-05 4.834505034523318e-06 1.5413379514939152e-05 1.7272286640945822e-05 2.0439238141989335e-05 2.1404326616902836e-05 1.675860221439507e-05 6.002307145536179e-06 2.5328019546577707e-05 2.5314548111055046e-05 2.34279523283476e-05 1.6082289221230894e-05 1.0946077054541092e-05 -0.0010725249303504825
2.75009388133185e-05 3.0019309633644298e-05 3.100574394920841e-05 1.8674279999686405e-05 1.425520622433396e-06 2.195730667153839e-05 2.675690302567091e-05 2.417039286228828e-05 6.910255706316093e-06 1.5802299458300695e-05 1.8486993212718517e-05 2.439694981148932e-05 1.9255681763752364e-05 1.635434637137223e-05 1.1651022759906482e-05 1.5512443496845663e-05 1.5211411664495245e-05 2.2951662685954943e-06 1.5889421774772927e-05 2.0589601263054647e-05 4.651797553378856e-06 1.4870565792080015e-05 1.7391741494066082e-05 2.122539262927603e-05 2.1001804270781577e-05 1.596385845914483e-05 5.974379746476188e-06 2.4295790353789926e-05 2.5693056159070693e-05 2.3171249267761596e-05 1.3902567843615543e-05 1.0694764569052495e-05 -0.0010179933160543442
2.6953646738547832e-05 3.091699909418821e-05 3.1684285204391927e-05 1.833716123655904e-05 1.2114036280763685e-06 2.1993930204189382e-05 2.7782141842180863e-05 2.4665836463100277e-05 7.0995783971739e-06 1.7033173207892105e-05 1.887045436888002e-05 2.4983319235616364e-05 1.92538027476985e-05 1.662345130171161e-05 1.2576150766108185e-05 1.5168579011515249e-05 1.4589841157430783e-05 -1.8137691313313553e-06 1.546033308841288e-05 1.9575163605622947e-05 4.752745553560089e-06 1.4493824892269913e-05 1.758650250849314e-05 2.1967480279272422e-05 2.0745119400089607e-05 1.5416710084537044e-05 6.2403319134318735e-06 2.3504713681177236e-05 2.6039360818685964e-05 2.2923863070900552e-05 1.2003433766949456e-05 1.0496130016690586e-05 -0.0009279345977120101
2.6345745936851017e-05 3.165342059219256e-05 3.228357672924176e-05 1.835137118177954e-05 1.0942158041871153e-06 2.2184905901667662e-05 2.8651167667703703e-05 2.508778743504081e-05 7.629869287484325e-06 1.8106537027051672e-05 1.919581882248167e-05 2.548382690292783e-05 1.9308017726871185e-05 1.6847623555804603e-05 1.3460052286973223e-05 1.4929784811101854e-05 1.4155164535623044e-05 -4.890286163572455e-06 1.5204462215478998e-05 1.8822103811544366e-05 5.104921456222655e-06 1.4274400200520176e-05 1.7833539459388703e-05 2.2627340513281524e-05 2.062619932985399e-05 1.5099070878932253e-05 6.7646160459844396e-06 2.29699035116937e-05 2.6324665668653324e-05 2.267914533149451e-05 1.0478527656232473e-05 1.0361798558733426e-05 -0.0008100321865640581
2.5708641260280274e-05 3.2195268431678414e-05 3.278826625319198e-05 1.8758373698801734e-05 1.0917914323727018e-06 2.2544494640897028e-05 2.9328721211641096e-05 2.5427147193113342e-05 8.497379894834012e-06 1.8960070519824512e-05 1.9456636437098496e-05 2.587477683846373e-05 1.940561196533963e-05 1.7007070709951222e-05 1.4250595995690674e-05 1.4784905943088233e-05 1.3906038475397509e-05 -6.845958978374256e-06 1.5111662833078299e-05 1.833962232922204e-05 5.6644953474460635e-06 1.419676118530333e-05 1.810795220080763e-05 2.3172064175014384e-05 2.063059037027415e-05 1.4977766113588586e-05 7.500093488488346e-06 2.269275501021184e-05 2.6523613996687345e-05 2.2430705939768814e-05 9.400307135365438e-06 1.0301828297087923e-05 -0.0006732826004736125
2.5078705220948905e-05 3.251933594583534e-05 3.318709786981344e-05 1.9571920347516425e-05 1.2120125347792055e-06 2.3075899662217125e-05 2.9789889595122077e-05 2.5680381440906785e-05 9.67274718277622e-06 1.954998151632026e-05 1.9651693946798332e-05 2.6140045520151034e-05 1.9531713405740447e-05 1.708860872895457e-05 1.4903585906722583e-05 1.4720145372848492e-05 1.3831368960381951e-05 -7.65380809752969e-06 1.516311112936819e-05 1.8125261703971773e-05 6.37702669337159e-06 1.423914909537416e-05 1.8383580027148128e-05 2.3575863451696932e-05 2.073531322821509e-05 1.5005431123427115e-05 8.387800335185602e-06 2.265868715767283e-05 2.661431790329516e-05 2.2171543605509214e-05 8.81057985679945e-06 1.0321897207177244e-05 -0.0005272987182252109
2.4493008822901174e-05 3.261287201894447e-05 3.347029269207269e-05 2.0773570213350467e-05 1.4498612017632695e-06 2.3769303879817016e-05 3.0020071790204383e-05 2.584767025837209e-05 1.1103023098257836e-05 1.9851719116559252e-05 1.9782550225500017e-05 2.6270108719472773e-05 1.966800664376933e-05 1.708501258690376e-05 1.5383227946585976e-05 1.4716899386257865e-05 1.3908947039453778e-05 -7.351360181928612e-06 1.5331688700825907e-05 1.8163296772399917e-05 7.179412932600826e-06 1.4373066733242013e-05 1.863320176198613e-05 2.381873673584778e-05 2.090975067403633e-05 1.5123825505725108e-05 9.362099262943957e-06 2.2836380594526418e-05 2.6578667529975064e-05 2.1892456061323173e-05 8.714002433407586e-06 1.0419831596664153e-05 -0.0003811574133578688
2.398595643171575e-05 3.247158383601345e-05 3.362814095453359e-05 2.2311685825116e-05 1.7848805100584286e-06 2.4600638425908983e-05 3.001379627676215e-05 2.5930961783160456e-05 1.2709393558907323e-05 1.9857046936522238e-05 1.985156995942816e-05 2.6260982849635184e-05 1.979275475605391e-05 1.699276253930293e-05 1.5662299119867384e-05 1.4752699826203752e-05 1.4105706213740632e-05 -6.0360571296769194e-06 1.558157237013802e-05 1.8425202142680064e-05 8.002593858691398e-06 1.4563499462383334e-05 1.882881588244345e-05 2.388652865192853e-05 2.111681351379957e-05 1.526645792182535e-05 1.0351728633395396e-05 2.318058250239119e-05 2.6402323783258907e-05 2.1582958652288653e-05 9.07943285710644e-06 1.0585237760096788e-05 -0.00024289710563607514
2.3592028810526244e-05 3.210740760550834e-05 3.3657794119790196e-05 2.4110016966005787e-05 2.190151462855283e-06 2.5537532565067522e-05 2.9782670026179403e-05 2.5941109925042838e-05 1.4396844562725164e-05 1.9581704691518098e-05 1.9869126845151186e-05 2.6122179406229407e-05 1.9890083422069438e-05 1.6820904420455918e-05 1.5730260201962665e-05 1.4810144421062432e-05 1.4388124327524565e-05 -3.8479756767628714e-06 1.5879062630119734e-05 1.8878543414757587e-05 8.784158126218244e-06 1.4779701814404689e-05 1.8950906451209448e-05 2.3780270566930994e-05 2.1322759494069032e-05 1.5371957488241605e-05 1.1291209375485778e-05 2.364240754104685e-05 2.608278919069562e-05 2.1239349734969437e-05 9.851368304225616e-06 1.0806110367411748e-05 -0.00011936514056287706
2.3344244254985824e-05 3.155061858706176e-05 3.3565116609679535e-05 2.6073255867231637e-05 2.635557166286162e-06 2.6542462364886887e-05 2.935624615929555e-05 2.5898652893374674e-05 1.6062143913586624e-05 1.9065419110120274e-05 1.9853187041007914e-05 2.5878061933326535e-05 1.995308412006125e-05 1.6591189705650322e-05 1.559512566018384e-05 1.4879366972309072e-05 1.4726572771905921e-05 -9.593373988536769e-07 1.6196912838495336e-05 1.9493591025820933e-05 9.474646503804252e-06 1.4999479390098713e-05 1.8993165213032626e-05 2.351704824832268e-05 2.1502406525542028e-05 1.5392288332805037e-05 1.2129993592679966e-05 2.417570249235723e-05 2.5632412871345878e-05 2.086673521262128e-05 1.0955485777230933e-05 1.1072037523263134e-05 -1.5253513993229717e-05
2.3264819901669398e-05 3.083953197347e-05 3.335827568662353e-05 2.808666613418609e-05 3.0828323360765353e-06 2.7570098609430715e-05 2.8772967198165134e-05 2.5824225303949788e-05 1.7595035387785174e-05 1.83614556590328e-05 1.982118556043133e-05 2.5558634661138058e-05 1.997687650145963e-05 1.632876410440076e-05 1.5277126294677146e-05 1.4950780496292282e-05 1.508864534116583e-05 2.4263183604489313e-06 1.6507276086485945e-05 2.023528577410616e-05 1.0032437785412185e-05 1.5201518181129359e-05 1.895392415462993e-05 2.312175274710171e-05 2.163297358492855e-05 1.528832217445597e-05 1.2824890291085467e-05 2.4730550649110228e-05 2.506962846382521e-05 2.0471057723625563e-05 1.2291929124330636e-05 1.136712307925336e-05 6.690401642117649e-05
2.336943543923553e-05 3.0025294108781964e-05 3.305457721580751e-05 3.0033914299565367e-05 3.496153567539295e-06 2.8576298063853756e-05 2.808369208651129e-05 2.5744955564732663e-05 1.8896138499258086e-05 1.7536416635266505e-05 1.9794928448391147e-05 2.5203547920682468e-05 1.9966308173025027e-05 1.606820478627924e-05 1.4812514564255252e-05 1.502338818681892e-05 1.545010854897555e-05 6.0966972341702785e-06 1.679251727182418e-05 2.107362888636999e-05 1.0434378964419011e-05 1.5375091606983915e-05 1.8843884390662424e-05 2.263245369249489e-05 2.1702728190575726e-05 1.5041140613902826e-05 1.3351917004911229e-05 2.526628850318957e-05 2.4425618903478608e-05 2.0067605873919092e-05 1.3754967767454218e-05 1.1677417205646634e-05 0.00012663006782531738
2.366198896197602e-05 2.916375524364412e-05 3.267364081693813e-05 3.179909253958613e-05 3.841056241071783e-06 2.9515649657696486e-05 2.7344736736267805e-05 2.5687280867714435e-05 1.987812174775172e-05 1.6662374036968686e-05 1.979504304472357e-05 2.4856195523170754e-05 1.9930375856347382e-05 1.584553137945477e-05 1.4246521459426731e-05 1.5100871678441763e-05 1.579241688887123e-05 9.839181075221859e-06 1.703975249256473e-05 2.1979594748700038e-05 1.0670086339814588e-05 1.5515477571170777e-05 1.868051003839355e-05 2.209362355642952e-05 2.1707843188778497e-05 1.464809520257404e-05 1.3699241208087187e-05 2.5748495318111964e-05 2.373772622377146e-05 1.9674016584758647e-05 1.5234733837132808e-05 1.1987765901722014e-05 0.00016512307047378272
2.413117363175843e-05 2.830968878697604e-05 3.223502790206112e-05 3.3272543078055605e-05 4.086996341357008e-06 3.0340665034600534e-05 2.6610872737364843e-05 2.5673420168459415e-05 2.0473478798521683e-05 1.581122342031449e-05 1.983777474379167e-05 2.4556877178838477e-05 1.987979339901358e-05 1.5693236491642892e-05 1.3628538908960763e-05 1.5186366908892523e-05 1.609828177606687e-05 1.3445125659927726e-05 1.7239430235349573e-05 2.2922731659491546e-05 1.0740740435721818e-05 1.562138095323462e-05 1.8485003238311037e-05 2.155045331164729e-05 2.165002479159739e-05 1.412209530826658e-05 1.3866527297068387e-05 2.6148967663175426e-05 2.3044536646921188e-05 1.930672260641586e-05 1.6623112969682552e-05 1.2280740520509426e-05 0.00018475239630788565
2.4752735043875873e-05 2.7514155590324663e-05 3.175863457727246e-05 3.4364227758487687e-05 4.2103683881578036e-06 3.100834146607667e-05 2.593291901575867e-05 2.572022276581265e-05 2.0644280084525235e-05 1.5045224245113786e-05 1.9934741430915892e-05 2.4341194148291834e-05 1.9826056814054027e-05 1.5638808690709993e-05 1.3008592759433668e-05 1.528239772596862e-05 1.635503394936677e-05 1.6725296518416144e-05 1.7386550098308362e-05 2.3873973987065256e-05 1.0660816769814119e-05 1.5695839465479366e-05 1.828073618526105e-05 2.1047106201876886e-05 2.1537402062676847e-05 1.3495332495949697e-05 1.3864927495887969e-05 2.6447612981428392e-05 2.23849910980789e-05 1.8980945242219605e-05 1.7822125300881453e-05 1.253848404303426e-05 0.0001887973485281691
2.5495202862657607e-05 2.6823867301573046e-05 3.126571755274199e-05 3.5013395972782746e-05 4.200633611617377e-06 3.148403266095556e-05 2.5357885533594526e-05 2.5840879970928654e-05 2.038804996118415e-05 1.4417400052479934e-05 2.0095139916520566e-05 2.424061494821217e-05 1.978556247195229e-05 1.5705641999375075e-05 1.2438127669156529e-05 1.5396628441521898e-05 1.6559648429392837e-05 1.9529566998244263e-05 1.748446811689064e-05 2.480894727341365e-05 1.0457872122060508e-05 1.574898124090396e-05 1.809483910619747e-05 2.0626217519748025e-05 2.1386500520748086e-05 1.2816693924833089e-05 1.3716614375880454e-05 2.6636729671736248e-05 2.179812145186588e-05 1.871217682491988e-05 1.8753684344119392e-05 1.2746857464662753e-05 0.00018076070409733802
2.632158066262491e-05 2.6280380552634597e-05 3.0780873203184456e-05 3.5193428630009294e-05 4.063465894432738e-06 3.174631274305284e-05 2.4927290724008344e-05 2.6046465791296214e-05 1.9742463337024674e-05 1.3970675354357809e-05 2.0327108359197155e-05 2.428248626529239e-05 1.977839565370232e-05 1.591290856595151e-05 1.1968046237598173e-05 1.5541396351181902e-05 1.671972313488368e-05 2.17515516851563e-05 1.7546082744956948e-05 2.571162440290209e-05 1.017224076349521e-05 1.5798843378433958e-05 1.7957772797672078e-05 2.0328179743955843e-05 2.1223364456091076e-05 1.2150572729296982e-05 1.3454514373734128e-05 2.6721325411926955e-05 2.1322421162039973e-05 1.851620436355006e-05 1.9364271793165244e-05 1.2896863154310267e-05 0.00016378566215280443
2.7194026188226417e-05 2.5918414394254796e-05 3.033243046957068e-05 3.491788447718136e-05 3.822470262093702e-06 3.179131090291776e-05 2.4675799068063498e-05 2.634597331052646e-05 1.8785060092341155e-05 1.3736410437559243e-05 2.0639054127968848e-05 2.448923078191001e-05 1.9829109078273177e-05 1.6275558664347045e-05 1.1646527127595618e-05 1.5733687177998945e-05 1.685306961007882e-05 2.333226439077407e-05 1.7593158190720715e-05 2.657256663951557e-05 9.854005838860758e-06 1.5871075447648764e-05 1.7902650142787024e-05 2.0190165741951205e-05 2.1082167222630233e-05 1.157415044872323e-05 1.3119673894834705e-05 2.6720454116002657e-05 2.099527046084404e-05 1.84095224540215e-05 1.9630879251053557e-05 1.298813549510669e-05 0.00014032117906026542
2.8071812266716734e-05 2.5757786715985276e-05 2.9942912078695372e-05 3.423099042265676e-05 3.511162503855303e-06 3.1624731491319835e-05 2.4622626369819045e-05 2.6739777240436524e-05 1.761852399795316e-05 1.3727397345064674e-05 2.1032106815255247e-05 2.486816629243549e-05 1.99568039533915e-05 1.67952457559295e-05 1.1508869647514075e-05 1.598550079506822e-05 1.6978889107122086e-05 2.42543283093255e-05 1.7647587810643017e-05 2.7381887775845826e-05 9.551307812216692e-06 1.599021561560221e-05 1.795505522750318e-05 2.02367427846184e-05 2.0996478269807994e-05 1.1164740499225445e-05 1.2751233043672983e-05 2.665822466951795e-05 2.0843401216552593e-05 1.8400598492007703e-05 1.955604602699168e-05 1.302131568081677e-05 0.00011186251504113898
2.8910117180203088e-05 2.5798999558901414e-05 2.9624094167957082e-05 3.320088580949232e-05 3.1681181553722126e-06 3.125935108982958e-05 2.4767721697571687e-05 2.721507553360425e-05 1.636122578929644e-05 1.3935242350271437e-05 2.1496829504030757e-05 2.541049980209209e-05 2.0171753931208514e-05 1.7458647562307306e-05 1.1573913070606068e-05 1.630253973416984e-05 1.7114518414018676e-05 2.454038622090593e-05 1.7728418242768385e-05 2.812739876389969e-05 9.307255822932348e-06 1.617614361748565e-05 1.812875416362658e-05 2.0475172277656384e-05 2.0993642465327866e-05 1.0989989277732093e-05 1.2379984582366887e-05 2.6558072931948118e-05 2.087749817292206e-05 1.848721512942575e-05 1.916149994940497e-05 1.2996469195059035e-05 7.850727706681937e-05
2.967183172586374e-05 2.60324541159207e-05 2.9387263566604815e-05 3.192679287167266e-05 2.8434085379558383e-06 3.0723720556125045e-05 2.5100569473579526e-05 2.7756699637393467e-05 1.5144866665650625e-05 1.4338042092276737e-05 2.202150790253654e-05 2.609902549011167e-05 2.0482928448473103e-05 1.8245487808599137e-05 1.184850771096535e-05 1.668979530222714e-05 1.727978633425664e-05 2.42587902903324e-05 1.7857406419352628e-05 2.8802038286812603e-05 9.161982234218158e-06 1.6450032489956357e-05 1.8433629520586692e-05 2.090314774250146e-05 2.110083369188942e-05 1.1111917046946473e-05 1.203278407047037e-05 2.6448311473359354e-05 2.1100986486999318e-05 1.8663733499124646e-05 1.849387990660034e-05 1.291935950575862e-05 3.899327202816494e-05
3.032243148481939e-05 2.643185325723607e-05 2.9235536203486845e-05 3.051902604056522e-05 2.5868905595416436e-06 3.0053448426770046e-05 2.559486347308848e-05 2.8341373763396405e-05 1.4097160601522774e-05 1.4900923815730494e-05 2.258800668641925e-05 2.6902667741524056e-05 2.0890422092634253e-05 1.912335937959142e-05 1.2322911061346531e-05 1.7145745005109347e-05 1.7490930986241437e-05 2.35081315622665e-05 1.805110696295742e-05 2.9397539037745446e-05 9.144653631665278e-06 1.682714355411008e-05 1.88669055205537e-05 2.150335603801068e-05 2.1336774807423353e-05 1.1574886229936965e-05 1.1725407603080384e-05 2.6354182409704663e-05 2.150276668544393e-05 1.8914393876912072e-05 1.7613499949220568e-05 1.2794600479537621e-05 -8.95295033842558e-06
